id,created_at,reference,power_real,power_counter,power_real_temp,pac_sum,pac_sum_counter,pac_sum_temp,total_energy,co2factor,update_at,day_energy
238,2022-03-14 08:00:00,comfenalco1,12287,342,4202170,80.9689,342,27691.4,28060300,4612550,2022-03-14 08:59:55,31821
239,2022-03-14 08:00:00,edlv,1034.67,59,61045.4,"0","0","0","0","0",2022-03-14 08:59:05,
240,2022-03-14 09:00:00,takurika1,-7580.77,290,-2198420,37.7158,283,10673.6,11861500,1949790,2022-03-14 09:59:54,16544
241,2022-03-14 09:00:00,comfenalco1,6240.57,360,2246610,105.014,360,37805.2,28092200,4617790,2022-03-14 09:59:55,63716
242,2022-03-14 09:00:00,edlv,917.648,58,53223.6,"0","0","0","0","0",2022-03-14 09:59:05,
243,2022-03-14 10:00:00,takurika1,-9897.62,318,-3147440,42.9203,310,13305.3,11873400,1951750,2022-03-14 10:59:55,28502
244,2022-03-14 10:00:00,comfenalco1,3639.22,360,1310120,116.173,360,41822.2,28130900,4624160,2022-03-14 10:59:55,102441
245,2022-03-14 10:00:00,edlv,54.4774,59,3214.17,"0","0","0","0","0",2022-03-14 10:59:06,
246,2022-03-14 11:00:00,takurika1,-13837.7,332,-4594130,46.2949,312,14444,11887500,1954060,2022-03-14 11:59:54,42543
247,2022-03-14 11:00:00,comfenalco1,3417.34,353,1206320,133.109,353,46987.3,28174200,4631280,2022-03-14 11:59:55,145708
248,2022-03-14 11:00:00,edlv,861.954,44,37926,"0","0","0","0","0",2022-03-14 11:59:04,
249,2022-03-14 12:00:00,comfenalco1,358.106,360,128918,77.8191,360,28014.9,28210200,4637190,2022-03-14 12:59:53,181660
250,2022-03-14 12:00:00,edlv,551.783,60,33107,"0","0","0","0","0",2022-03-14 12:59:02,
251,2022-03-14 12:00:00,takurika1,-15600.1,333,-5194820,48.3304,338,16335.7,11903300,1956670,2022-03-14 12:59:53,58393
252,2022-03-14 13:00:00,takurika1,-15578.1,310,-4829220,45.8739,325,14909,11919200,1959280,2022-03-14 13:59:58,74260
253,2022-03-14 13:00:00,comfenalco1,249.724,313,78163.7,129.325,313,40478.8,28244200,4642770,2022-03-14 13:59:53,215650
254,2022-03-14 13:00:00,edlv,488.385,60,29303.1,"0","0","0","0","0",2022-03-14 13:59:02,
255,2022-03-14 14:00:00,comfenalco1,1358.61,360,489101,93.1923,360,33549.2,28278300,4648380,2022-03-14 14:59:53,249770
256,2022-03-14 14:00:00,edlv,218.144,59,12870.5,"0","0","0","0","0",2022-03-14 14:59:02,
257,2022-03-14 14:00:00,takurika1,-13436.1,304,-4084570,41.4886,296,12280.6,11932900,1961530,2022-03-14 14:59:52,88000
258,2022-03-14 15:00:00,comfenalco1,5321.11,360,1915600,59.6135,360,21460.9,28305100,4652800,2022-03-14 15:59:53,276610
259,2022-03-14 15:00:00,edlv,163.04,60,9782.41,"0","0","0","0","0",2022-03-14 15:59:02,
260,2022-03-14 15:00:00,takurika1,-9968.71,303,-3020520,27.9726,285,7972.19,11943100,1963200,2022-03-14 15:59:51,98150
264,2022-03-14 16:00:00,comfenalco1,17614.3,91,1044580,7627,95,18847.2,28319900,4655220,2022-03-14 16:59:52,291360
265,2022-03-14 16:00:00,edlv,296.59,15,-1107.27,"0","0","0","0","0",2022-03-14 16:59:02,
266,2022-03-14 16:00:00,takurika1,-2524.49,1,-4647.77,2785,"0","0",11948200,1964050,2022-03-14 16:59:57,103300
267,2022-03-14 17:00:00,takurika1,27.0831,1,-2547.17,325,"0","0",11949700,1964300,2022-03-14 17:59:51,104800
268,2022-03-14 17:00:00,edlv,3074.98,1,301.47,"0","0","0","0","0",2022-03-14 17:59:02,
